sale_id,sale_date,product_id,customer_id,total,rating
2609,9/1/2023,24,1,500,5
2716,9/4/2023,24,1,500,4
3025,9/14/2023,24,1,500,5
3581,10/2/2023,4,1,600,5
4504,11/4/2023,5,1,450,4
5079,11/23/2023,8,1,750,5
5452,12/5/2023,9,1,700,4
6630,1/15/2024,4,1,600,5
7322,2/10/2024,1,1,350,4
7357,2/11/2024,1,1,350,4
9069,4/24/2024,4,1,600,4
10138,9/3/2024,2,1,900,5
10349,9/27/2024,3,1,250,5
375,2/6/2023,11,1,550,4
484,2/16/2023,3,1,250,4
734,3/8/2023,26,1,900,5
1787,6/11/2023,13,1,450,4
1896,6/24/2023,21,1,650,4
2207,7/23/2023,22,1,400,5
2352,8/7/2023,24,1,500,4
2430,8/14/2023,24,1,500,5
3038,9/15/2023,22,1,400,4
3052,9/15/2023,24,1,500,4
3082,9/16/2023,23,1,250,4
3444,9/28/2023,21,1,650,4
5913,12/22/2023,14,1,320,4
6428,1/8/2024,14,1,320,5
135,1/16/2023,7,1,1500,5
158,1/18/2023,3,1,250,4
193,1/21/2023,24,1,500,4
1217,4/23/2023,1,1,350,4
1302,4/30/2023,13,1,450,4
1490,5/16/2023,2,1,900,5
1813,6/14/2023,19,1,300,4
1825,6/15/2023,17,1,600,5
1830,6/16/2023,1,1,350,4
2155,7/20/2023,2,1,900,4
4975,11/19/2023,8,1,750,5
2107,7/16/2023,2,1,900,5
766,3/11/2023,11,1,550,4
1150,4/15/2023,23,1,250,4
1661,6/1/2023,14,1,320,4
6687,1/17/2024,4,1,600,5
6921,1/26/2024,2,1,900,5
7933,3/1/2024,2,1,900,5
9853,7/29/2024,1,1,350,5
4888,11/17/2023,1,1,350,5
9432,6/1/2024,1,1,350,5
404,2/9/2023,13,2,450,5
546,2/22/2023,15,2,350,4
748,3/10/2023,3,2,250,4
1475,5/14/2023,18,2,450,4
2323,8/3/2023,24,2,500,4
2569,8/28/2023,24,2,500,4
4698,11/10/2023,10,2,1800,4
5657,12/13/2023,1,2,350,4
6316,1/4/2024,14,2,320,5
6829,1/23/2024,1,2,350,4
7168,2/4/2024,4,2,600,4
9499,6/11/2024,4,2,600,5
9760,7/16/2024,1,2,350,4
9815,7/23/2024,3,2,250,5
789,3/13/2023,13,2,450,5
1874,6/21/2023,25,2,600,5
3168,9/19/2023,22,2,400,5
3760,10/7/2023,10,2,1800,4
6385,1/6/2024,14,2,320,5
7926,3/1/2024,2,2,900,5
8708,3/26/2024,2,2,900,5
8905,4/5/2024,2,2,900,5
9673,7/3/2024,4,2,600,5
918,3/26/2023,23,2,250,4
1209,4/22/2023,14,2,320,5
2717,9/4/2023,24,2,500,5
6632,1/15/2024,4,2,600,5
7653,2/21/2024,1,2,350,4
10057,8/22/2024,2,2,900,4
7120,2/2/2024,4,2,600,5
7091,2/1/2024,3,2,250,5
8361,3/14/2024,3,2,250,5
929,3/27/2023,28,3,300,4
2490,8/20/2023,24,3,500,5
2619,9/1/2023,24,3,500,5
4498,11/4/2023,2,3,900,4
5014,11/21/2023,3,3,250,5
5982,12/24/2023,14,3,320,4
6638,1/16/2024,1,3,350,5
10211,9/12/2024,2,3,900,4
55,1/6/2023,23,3,250,5
413,2/9/2023,27,3,200,4
636,3/1/2023,20,3,800,4
1583,5/24/2023,15,3,350,5
1940,6/30/2023,20,3,800,5
2330,8/4/2023,24,3,500,5
5484,12/7/2023,4,3,600,5
6689,1/18/2024,1,3,350,5
655,3/2/2023,22,3,400,4
2250,7/27/2023,14,3,320,4
2372,8/9/2023,24,3,500,5
2817,9/7/2023,24,3,500,4
2880,9/9/2023,24,3,500,4
3137,9/18/2023,23,3,250,4
4516,11/4/2023,10,3,1800,4
5579,12/10/2023,2,3,900,5
9914,8/5/2024,2,3,900,4
10056,8/22/2024,1,3,350,5
3322,9/23/2023,24,3,500,4
6574,1/13/2024,3,3,250,5
6793,1/21/2024,2,3,900,5
8528,3/19/2024,4,3,600,5
668,3/3/2023,20,3,800,4
3302,9/23/2023,22,3,400,4
8786,3/29/2024,1,3,350,5
1928,6/29/2023,2,3,900,4
2900,9/10/2023,22,3,400,5
821,3/16/2023,4,4,600,5
1466,5/13/2023,25,4,600,4
4385,10/31/2023,9,4,700,5
6211,1/1/2024,14,4,320,5
6891,1/25/2024,2,4,900,4
8056,3/4/2024,1,4,350,5
9208,5/8/2024,2,4,900,5
10118,8/30/2024,3,4,250,5
73,1/9/2023,17,4,600,4
2426,8/14/2023,24,4,500,5
3949,10/14/2023,8,4,750,4
4638,11/8/2023,9,4,700,4
5509,12/8/2023,1,4,350,5
5705,12/15/2023,2,4,900,4
10132,9/1/2024,4,4,600,4
151,1/17/2023,17,4,600,4
2238,7/26/2023,14,4,320,5
2298,8/1/2023,8,4,750,4
3522,9/30/2023,23,4,250,5
3923,10/14/2023,1,4,350,4
8268,3/11/2024,2,4,900,5
733,3/8/2023,25,4,600,4
7283,2/8/2024,3,4,250,4
9166,5/4/2024,3,4,250,4
7953,3/1/2024,4,4,600,4
7118,2/2/2024,4,4,600,5
9419,5/30/2024,3,4,250,5
778,3/12/2023,11,5,550,4
1780,6/11/2023,1,5,350,4
2014,7/6/2023,19,5,300,4
2411,8/12/2023,24,5,500,4
3412,9/27/2023,21,5,650,5
3691,10/5/2023,10,5,1800,4
4861,11/15/2023,9,5,700,4
5023,11/21/2023,7,5,1500,5
5709,12/15/2023,5,5,450,4
6897,1/25/2024,3,5,250,4
7723,2/23/2024,3,5,250,4
7996,3/2/2024,2,5,900,5
8143,3/6/2024,3,5,250,4
8980,4/15/2024,2,5,900,4
9299,5/16/2024,4,5,600,4
885,3/22/2023,25,5,600,4
1233,4/24/2023,3,5,250,5
3306,9/23/2023,22,5,400,4
3865,10/12/2023,1,5,350,5
4382,10/31/2023,6,5,1200,5
4816,11/14/2023,7,5,1500,4
5194,11/27/2023,10,5,1800,5
6406,1/7/2024,14,5,320,4
6810,1/22/2024,1,5,350,4
9433,6/1/2024,2,5,900,4
10199,9/10/2024,1,5,350,5
2820,9/8/2023,21,5,650,4
5919,12/22/2023,14,5,320,5
8043,3/3/2024,3,5,250,4
8503,3/19/2024,1,5,350,5
2462,8/17/2023,24,5,500,4
7675,2/21/2024,4,5,600,4
8728,3/27/2024,2,5,900,5
2793,9/7/2023,22,5,400,5
4135,10/22/2023,3,5,250,4
4694,11/10/2023,9,5,700,5
1541,5/20/2023,27,5,200,5
3209,9/20/2023,22,5,400,5
6974,1/28/2024,2,5,900,5
7044,1/30/2024,4,5,600,4
28,1/3/2023,25,6,600,4
251,1/26/2023,17,6,600,5
601,2/26/2023,20,6,800,4
1198,4/21/2023,15,6,350,4
1819,6/15/2023,3,6,250,5
1999,7/5/2023,8,6,750,5
2648,9/2/2023,24,6,500,4
2834,9/8/2023,22,6,400,4
5923,12/22/2023,14,6,320,4
6512,1/11/2024,3,6,250,5
6564,1/13/2024,2,6,900,4
7175,2/5/2024,1,6,350,5
8327,3/13/2024,2,6,900,5
8331,3/13/2024,3,6,250,4
9845,7/27/2024,4,6,600,5
144,1/16/2023,24,6,500,5
1167,4/18/2023,1,6,350,5
3088,9/16/2023,24,6,500,4
3429,9/27/2023,23,6,250,4
4271,10/27/2023,4,6,600,4
7583,2/18/2024,2,6,900,4
7819,2/26/2024,4,6,600,5
8265,3/11/2024,1,6,350,4
1441,5/11/2023,10,6,1800,4
2351,8/7/2023,24,6,500,5
2804,9/7/2023,24,6,500,4
3793,10/9/2023,6,6,1200,4
10237,9/14/2024,1,6,350,4
1871,6/21/2023,22,6,400,4
3519,9/30/2023,23,6,250,4
900,3/24/2023,19,6,300,4
3878,10/12/2023,5,6,450,4
5791,12/18/2023,4,6,600,5
7290,2/8/2024,4,6,600,4
8401,3/15/2024,4,6,600,4
9280,5/15/2024,2,6,900,4
9477,6/8/2024,3,6,250,5
475,2/15/2023,23,7,250,4
1644,5/30/2023,24,7,500,5
1991,7/4/2023,14,7,320,4
3114,9/17/2023,24,7,500,5
3530,9/30/2023,24,7,500,5
3920,10/13/2023,11,7,550,5
4419,11/1/2023,10,7,1800,5
4553,11/5/2023,8,7,750,4
4908,11/17/2023,11,7,550,5
5186,11/27/2023,9,7,700,5
5481,12/7/2023,4,7,600,5
5653,12/12/2023,11,7,550,5
10284,9/20/2024,2,7,900,5
525,2/20/2023,22,7,400,4
1444,5/11/2023,27,7,200,4
4227,10/25/2023,4,7,600,5
4579,11/6/2023,7,7,1500,4
6149,12/29/2023,14,7,320,4
6913,1/26/2024,1,7,350,4
8711,3/26/2024,3,7,250,5
1072,4/9/2023,2,7,900,4
2136,7/18/2023,7,7,1500,5
2649,9/2/2023,24,7,500,4
4037,10/18/2023,5,7,450,5
4724,11/11/2023,9,7,700,4
9638,6/29/2024,4,7,600,5
9698,7/7/2024,3,7,250,4
1619,5/28/2023,11,7,550,5
2962,9/12/2023,21,7,650,5
2991,9/13/2023,22,7,400,4
4670,11/9/2023,9,7,700,5
468,2/15/2023,8,7,750,4
1828,6/15/2023,27,7,200,4
1891,6/23/2023,22,7,400,4
3012,9/14/2023,22,7,400,4
10275,9/19/2024,2,7,900,4
1908,6/26/2023,25,7,600,4
3659,10/4/2023,9,7,700,5
3845,10/11/2023,4,7,600,4
639,3/1/2023,26,8,900,5
1206,4/22/2023,6,8,1200,4
1493,5/16/2023,15,8,350,4
4868,11/16/2023,3,8,250,4
5978,12/24/2023,14,8,320,4
8289,3/12/2024,1,8,350,4
8309,3/12/2024,3,8,250,5
8959,4/13/2024,1,8,350,4
426,2/11/2023,8,8,750,5
699,3/5/2023,17,8,600,4
1704,6/4/2023,13,8,450,4
3299,9/23/2023,21,8,650,4
4242,10/26/2023,2,8,900,5
4528,11/5/2023,2,8,900,4
5216,11/28/2023,10,8,1800,4
6623,1/15/2024,3,8,250,4
7185,2/5/2024,2,8,900,5
1092,4/10/2023,2,8,900,5
4723,11/11/2023,9,8,700,5
4881,11/16/2023,7,8,1500,4
4919,11/18/2023,3,8,250,5
5659,12/13/2023,2,8,900,4
7040,1/30/2024,3,8,250,4
8122,3/5/2024,4,8,600,4
8433,3/16/2024,4,8,600,5
1653,6/1/2023,1,8,350,4
2660,9/2/2023,24,8,500,4
3734,10/7/2023,3,8,250,4
6525,1/12/2024,2,8,900,4
8529,3/19/2024,4,8,600,5
37,1/4/2023,25,8,600,4
7326,2/10/2024,1,8,350,5
71,1/9/2023,2,9,900,4
2064,7/11/2023,17,9,600,4
2283,7/30/2023,21,9,650,4
4089,10/20/2023,4,9,600,5
5761,12/17/2023,4,9,600,4
5877,12/20/2023,14,9,320,4
5914,12/22/2023,14,9,320,4
6391,1/7/2024,14,9,320,5
6780,1/21/2024,1,9,350,5
7738,2/24/2024,1,9,350,5
9574,6/22/2024,1,9,350,4
10233,9/13/2024,4,9,600,4
50,1/6/2023,12,9,300,5
307,1/31/2023,1,9,350,4
1152,4/15/2023,28,9,300,5
1611,5/27/2023,11,9,550,4
1696,6/4/2023,5,9,450,4
2058,7/11/2023,1,9,350,4
3304,9/23/2023,22,9,400,5
5096,11/24/2023,4,9,600,5
5160,11/26/2023,11,9,550,4
5707,12/15/2023,4,9,600,4
5920,12/22/2023,14,9,320,5
6164,12/30/2023,14,9,320,4
8530,3/19/2024,4,9,600,4
9674,7/3/2024,4,9,600,5
9775,7/18/2024,3,9,250,5
756,3/10/2023,22,9,400,5
1373,5/5/2023,26,9,900,5
1381,5/6/2023,12,9,300,5
